words,tags,frequency
10min,2,7.4277098142329775e-06
10mins,1,3.7138549071164888e-06
10th,8,2.971083925693191e-05
110th,1,3.7138549071164888e-06
11317,1,3.7138549071164888e-06
11915,1,3.7138549071164888e-06
125th,1,3.7138549071164888e-06
12741,1,3.7138549071164888e-06
1286,1,3.7138549071164888e-06
13260,1,3.7138549071164888e-06
13326,1,3.7138549071164888e-06
13th,1,3.7138549071164888e-06
1400sqft,1,3.7138549071164888e-06
145th,1,3.7138549071164888e-06
1475,1,3.7138549071164888e-06
14843,1,3.7138549071164888e-06
14story,9,3.34246941640484e-05
14th,2,7.4277098142329775e-06
15476,1,3.7138549071164888e-06
17686,1,3.7138549071164888e-06
17th,1,3.7138549071164888e-06
18924,1,3.7138549071164888e-06
19th,17,6.31355334209803e-05
1ba,1,3.7138549071164888e-06
1minute,1,3.7138549071164888e-06
1st,13,4.828011379251436e-05
2008,1,3.7138549071164888e-06
20th,10,3.713854907116489e-05
24505,1,3.7138549071164888e-06
24th,2,7.4277098142329775e-06
25th,1,3.7138549071164888e-06
2662,1,3.7138549071164888e-06
27705,1,3.7138549071164888e-06
29002,1,3.7138549071164888e-06
29038,1,3.7138549071164888e-06
2bdrm,1,3.7138549071164888e-06
2min,1,3.7138549071164888e-06
2minute,1,3.7138549071164888e-06
2nd,37,0.0001374126315633101
2room,1,3.7138549071164888e-06
2story,1,3.7138549071164888e-06
30036,1,3.7138549071164888e-06
30323,1,3.7138549071164888e-06
30393,1,3.7138549071164888e-06
30498,1,3.7138549071164888e-06
30th,7,2.599698434981542e-05
31889,1,3.7138549071164888e-06
3272,1,3.7138549071164888e-06
32story,4,1.4855419628465955e-05
33530,1,3.7138549071164888e-06
34543,1,3.7138549071164888e-06
34670,1,3.7138549071164888e-06
34684,1,3.7138549071164888e-06
34700,1,3.7138549071164888e-06
34th,1,3.7138549071164888e-06
3541,1,3.7138549071164888e-06
35942,1,3.7138549071164888e-06
35th,3,1.1141564721349467e-05
36465,1,3.7138549071164888e-06
36838,1,3.7138549071164888e-06
37273,1,3.7138549071164888e-06
38073,1,3.7138549071164888e-06
38607,1,3.7138549071164888e-06
39037,1,3.7138549071164888e-06
3962,1,3.7138549071164888e-06
39675,1,3.7138549071164888e-06
3floor,2,7.4277098142329775e-06
3story,1,3.7138549071164888e-06
4049,1,3.7138549071164888e-06
40670,1,3.7138549071164888e-06
40th,3,1.1141564721349467e-05
41283,1,3.7138549071164888e-06
41438,1,3.7138549071164888e-06
41439,1,3.7138549071164888e-06
41513,1,3.7138549071164888e-06
41934,1,3.7138549071164888e-06
42624,1,3.7138549071164888e-06
42651,1,3.7138549071164888e-06
42930,1,3.7138549071164888e-06
43036,1,3.7138549071164888e-06
44786,1,3.7138549071164888e-06
44th,1,3.7138549071164888e-06
450,1,3.7138549071164888e-06
46115,1,3.7138549071164888e-06
46354,1,3.7138549071164888e-06
46849,1,3.7138549071164888e-06
47241,1,3.7138549071164888e-06
47301,1,3.7138549071164888e-06
47543,1,3.7138549071164888e-06
47833,1,3.7138549071164888e-06
48251,1,3.7138549071164888e-06
48909,1,3.7138549071164888e-06
48924,1,3.7138549071164888e-06
4898,1,3.7138549071164888e-06
49068,1,3.7138549071164888e-06
4bedrooms,1,3.7138549071164888e-06
4br,1,3.7138549071164888e-06
4floor,1,3.7138549071164888e-06
4th,24,8.913251777079573e-05
500sqft,1,3.7138549071164888e-06
5088,1,3.7138549071164888e-06
5091,1,3.7138549071164888e-06
50th,3,1.1141564721349467e-05
5389,1,3.7138549071164888e-06
5638,1,3.7138549071164888e-06
5812,1,3.7138549071164888e-06
585,1,3.7138549071164888e-06
5920,1,3.7138549071164888e-06
596,1,3.7138549071164888e-06
5993,1,3.7138549071164888e-06
5minute,3,1.1141564721349467e-05
5storey,1,3.7138549071164888e-06
5th,30,0.00011141564721349466
600,1,3.7138549071164888e-06
6228,1,3.7138549071164888e-06
6291,1,3.7138549071164888e-06
6315,1,3.7138549071164888e-06
6447,1,3.7138549071164888e-06
6607,1,3.7138549071164888e-06
6699,1,3.7138549071164888e-06
6story,1,3.7138549071164888e-06
70something,1,3.7138549071164888e-06
70th,2,7.4277098142329775e-06
7407,1,3.7138549071164888e-06
7435,1,3.7138549071164888e-06
787,1,3.7138549071164888e-06
7th,3,1.1141564721349467e-05
8142,1,3.7138549071164888e-06
8168th,1,3.7138549071164888e-06
8388,1,3.7138549071164888e-06
8620,1,3.7138549071164888e-06
8817,1,3.7138549071164888e-06
8th,1,3.7138549071164888e-06
9648,1,3.7138549071164888e-06
9695,1,3.7138549071164888e-06
9861,1,3.7138549071164888e-06
NaN,427,0.0015858160453387407
a1,1,3.7138549071164888e-06
aa,1,3.7138549071164888e-06
ab,7,2.599698434981542e-05
abc,1,3.7138549071164888e-06
abcd,11,4.085240397828138e-05
abcd3,1,3.7138549071164888e-06
ability,1,3.7138549071164888e-06
able,15,5.570782360674733e-05
abnb,1,3.7138549071164888e-06
abo,7,2.599698434981542e-05
abode,29,0.00010770179230637817
abou,4,1.4855419628465955e-05
about,3,1.1141564721349467e-05
abov,2,7.4277098142329775e-06
abroad,2,7.4277098142329775e-06
abs,3,1.1141564721349467e-05
absolut,2,7.4277098142329775e-06
absolute,11,4.085240397828138e-05
absolutely,50,0.00018569274535582445
abu,1,3.7138549071164888e-06
abundance,4,1.4855419628465955e-05
abundant,2,7.4277098142329775e-06
abyssi,1,3.7138549071164888e-06
abyssinia,1,3.7138549071164888e-06
abyssinian,1,3.7138549071164888e-06
ac,112,0.0004159517495970467
ac1,1,3.7138549071164888e-06
ac23,1,3.7138549071164888e-06
ac2345,2,7.4277098142329775e-06
ac3,1,3.7138549071164888e-06
academia,1,3.7138549071164888e-06
academic,1,3.7138549071164888e-06
academy,1,3.7138549071164888e-06
acadia,1,3.7138549071164888e-06
acbd,3,1.1141564721349467e-05
acbd123lincoln,1,3.7138549071164888e-06
acc,18,6.68493883280968e-05
acce,16,5.942167851386382e-05
accents,4,1.4855419628465955e-05
accept,8,2.971083925693191e-05
accepted,1,3.7138549071164888e-06
accepting,6,2.2283129442698933e-05
acces,14,5.199396869963084e-05
access,180,0.0006684938832809679
accessi,3,1.1141564721349467e-05
accessib,1,3.7138549071164888e-06
accessibility,2,7.4277098142329775e-06
accessibl,1,3.7138549071164888e-06
accessible,18,6.68493883280968e-05
accessing,1,3.7138549071164888e-06
accessory,1,3.7138549071164888e-06
acclaimed,1,3.7138549071164888e-06
acco,6,2.2283129442698933e-05
accom,2,7.4277098142329775e-06
accomm,6,2.2283129442698933e-05
accommo,6,2.2283129442698933e-05
accommod,2,7.4277098142329775e-06
accommodat,2,7.4277098142329775e-06
accommodate,17,6.31355334209803e-05
accommodates,28,0.00010398793739926168
accommodati,1,3.7138549071164888e-06
accommodating,1,3.7138549071164888e-06
accommodation,22,8.170480795656275e-05
accommodations,17,6.31355334209803e-05
accomodate,3,1.1141564721349467e-05
accomodating,1,3.7138549071164888e-06
accomodation,1,3.7138549071164888e-06
