words,tags,frequency
%,19,9.583858764186633e-05
'best,1,5.044136191677175e-06
'burg,1,5.044136191677175e-06
'cathedral,1,5.044136191677175e-06
'd,2,1.008827238335435e-05
'hideaway,1,5.044136191677175e-06
'in,1,5.044136191677175e-06
'it,1,5.044136191677175e-06
'm,232,0.0011702395964691046
'park,1,5.044136191677175e-06
'pin,1,5.044136191677175e-06
're,126,0.000635561160151324
's,329,0.0016595208070617907
'swee,1,5.044136191677175e-06
'the,1,5.044136191677175e-06
've,85,0.0004287515762925599
'white,2,1.008827238335435e-05
*,860,0.004337957124842371
+,89,0.0004489281210592686
+1,1,5.044136191677175e-06
+leaving,1,5.044136191677175e-06
+photo,1,5.044136191677175e-06
+private,1,5.044136191677175e-06
",,2",1,5.044136191677175e-06
",11",1,5.044136191677175e-06
",2",1,5.044136191677175e-06
",3",1,5.044136191677175e-06
",5",1,5.044136191677175e-06
",57",1,5.044136191677175e-06
",7",1,5.044136191677175e-06
",77,30",1,5.044136191677175e-06
",8,207",3,1.5132408575031526e-05
",f18",1,5.044136191677175e-06
-1,1,5.044136191677175e-06
-1/2,1,5.044136191677175e-06
-10pm,1,5.044136191677175e-06
-12,1,5.044136191677175e-06
-15,1,5.044136191677175e-06
-2,4,2.01765447667087e-05
-20,1,5.044136191677175e-06
-25mins,1,5.044136191677175e-06
-26mins,1,5.044136191677175e-06
-3blocks,1,5.044136191677175e-06
-5,1,5.044136191677175e-06
-86th,1,5.044136191677175e-06
-apartment,1,5.044136191677175e-06
-apt,1,5.044136191677175e-06
-authentic,1,5.044136191677175e-06
-available,1,5.044136191677175e-06
-back,1,5.044136191677175e-06
-beautiful,3,1.5132408575031526e-05
-bedroom,1,5.044136191677175e-06
-big,2,1.008827238335435e-05
-billiard,20,0.0001008827238335435
-c,1,5.044136191677175e-06
-check,1,5.044136191677175e-06
"-chelsea,15th",1,5.044136191677175e-06
-christophe,1,5.044136191677175e-06
-clean,2,1.008827238335435e-05
-comfortable,2,1.008827238335435e-05
